RecId	Type	Shape_area	LambertX	LambertY	BlockID	ParcelID	parcel_area	parcel_cover	centroid	has_front_garden	num_neighbours	num_facades	distance_to_bus_stop	distance_to_train_station	distance_to_kindergarten	distance_to_school
4350435	CL	93.6857	147615.93457825368	189375.44376575193	138239.0	5783394.0	253.9822	40.95	POINT (147615.9345782537 189375.4437657519)	False	2.0	2.0	0.0	0.0	0.0	0.0
4350436	CL	10.3284	147608.25152556202	189362.5060753806	138239.0	5783394.0	253.9822	40.95	POINT (147608.251525562 189362.5060753806)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350437	CL	95.5108	147598.94516527205	189487.5485904362	138235.0	5783210.0	577.2214	19.47	POINT (147598.945165272 189487.5485904362)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350438	CL	16.85	147600.8007590939	189477.47230473507	138235.0	5783210.0	577.2214	19.47	POINT (147600.8007590939 189477.4723047351)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350439	CL	212.8923	147742.28453880083	189755.6958499107	138233.0	5783558.0	2228.9068	9.55	POINT (147742.2845388008 189755.6958499107)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350440	CL	129.7455	147383.08648589413	189035.56938935936	138242.0	5783072.0	1135.7888	12.91	POINT (147383.0864858941 189035.5693893594)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350441	ON	16.8546	147377.2598519472	189031.69918205065	138242.0	5783072.0	1135.7888	12.91	POINT (147377.2598519472 189031.6991820507)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350442	CL	111.5016	147612.15678813416	189555.60591699427	138232.0	5782683.0	755.2152	20.79	POINT (147612.1567881342 189555.6059169943)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350443	CL	30.1019	147587.7031685062	189563.46192528712	138232.0	5782683.0	755.2152	20.79	POINT (147587.7031685062 189563.4619252871)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350444	ON	15.423	147605.39128019862	189553.53787558508	138232.0	5782683.0	755.2152	20.79	POINT (147605.3912801986 189553.5378755851)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350445	CL	72.0387	147823.21409996858	189018.98876327404	138240.0	5783285.0	221.3913	32.54	POINT (147823.2140999686 189018.988763274)	True	2.0	2.0	0.0	0.0	661.767	661.767
4350446	CL	81.4858	147604.78508111695	189436.22391248654	138235.0	5782492.0	81.4858	100.0	POINT (147604.7850811169 189436.2239124865)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350447	CL	1049.5066	147259.42214564935	188979.4084345397	138235.0	5783086.0	3700.5654	28.36	POINT (147259.4221456494 188979.4084345397)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350448	CL	116.1099	148113.55581634995	187671.23479929628	138245.0	10221057.0	1025.3771	11.32	POINT (148113.55581635 187671.2347992963)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350449	CL	105.1151	147913.79793334458	188987.05734337616	138240.0	5783580.0	338.0446	33.75	POINT (147913.7979333446 188987.0573433762)	True	2.0	2.0	0.0	0.0	661.767	661.767
4350450	ON	8.9634	147917.86699659214	188988.10631599638	138240.0	5783580.0	338.0446	33.75	POINT (147917.8669965921 188988.1063159964)	True	0.0	4.0	0.0	0.0	661.767	661.767
