"enh_typoH","LambertX","LambertY","LambertPrecision","sid","snum","X_Ori","Y_Ori"
2,149968,189117,"C","034849","0358",150260,189115
0,147608,189181,"S","034951","0030",147586,189102
0,151052,188647,"S","034886","0030",151037,188592
0,148148,186687,"S","034931","0152",148309,186405
1,150149,188785,"S","034898","0067",150219,188709
0,149760,186515,"S","034924","0026",149793,186665
1,149559,188221,"S","034841","0011",149533,188222
1,150439,188294,"S","034917","0016",150297,188196
2,148798,185910,"S","034930","0027",148818,185916
1,149902,188945,"S","034894","0018",149878,188961
0,150149,188785,"S","034898","0006",149885,188859
1,148891,189406,"S","034837","0011",148880,189405
0,149676,187894,"S","034882","0016",149654,187850
0,149402,187891,"S","034863","0009",149385,187869
2,149525,189223,"S","034858","0031",149500,189276
0,150167,188545,"S","034892","0013",150196,188538
0,148148,186687,"S","034931","0134",148407,186108
1,149362,189346,"S","034845","0006",149217,189372
2,149890,189351,"S","034891","0011",149897,189186
0,149596,188068,"S","034875","0010",149628,187912
0,149887,189579,"S","034893","0027",149824,189589
0,147415,189145,"S","034946","0038",147345,189051
2,149525,189223,"S","034858","0035",149501,189290
0,150272,187394,"S","034933","0020",149969,187929
0,149314,189369,"S","034845","0037",149352,189383
1,147621,189457,"S","034959","0004",147633,189457
0,148763,185666,"S","152573","0004",148733,185674
0,149355,187795,"S","034851","0039",149248,187749
0,147528,188877,"S","034945","0002",147503,188885
0,148375,186467,"S","034940","0013",148365,186488
0,151052,188647,"S","034886","0040",151097,188724
0,148959,189438,"S","034881","0010",148976,189488
1,150149,188785,"S","034898","0061",150202,188731
0,148959,189438,"S","034881","0010",148976,189488
0,148622,185810,"S","034931","0101",148716,185610
0,149314,189369,"S","034845","0047",149381,189377
0,148030,189407,"S","034948","0033",148131,189250
0,149472,186072,"S","034936","0069",149422,186011
1,149966,189432,"S","034904","0012",149976,189411
1,149314,189369,"S","034845","0003",149224,189418
1,149326,189280,"S","034847","0002",149338,189197
0,149136,187851,"S","034862","0044",149074,187997
1,147482,190322,"S","034954","0002",147681,190441
0,148375,186467,"S","034940","0013",148365,186488
0,149582,189146,"S","160374","0003",149594,189162
1,151052,188647,"S","034886","0068",151260,188915
1,149326,189280,"S","034847","0025",149371,189274
1,147415,189145,"S","034946","0039",147359,188938
1,150149,188785,"S","034898","0067",150219,188709
1,150149,188785,"S","034898","0061",150202,188731
0,149314,189369,"S","034845","0045",149381,189377
2,149326,189280,"S","034847","0018",149301,189272
0,149890,189351,"S","034891","0060",149899,189502
0,149352,189085,"S","034852","0010",149333,189036
1,148565,189309,"S","034849","0009",148314,189227
2,148907,188742,"S","034872","0103",148927,188725
0,149817,189264,"S","034887","0005",149833,189245
1,148646,185325,"C","034926","0028",148639,185321
