"src_id","src_addrid","lang_code","street_nm","hnr_base","hnr_full","appt_nr","bus_nr","pc","axon_name","laxon_name","x0","y0","x1","y1","x2","y2","x3","y3","angle","cntry_code","source","prior_source","parity"
2000388179,"1750833","DUT","Mechelseweg",215,"215",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149365.88,189151.63,149362.47,189133.67,149365.88,189151.63,149363.19,189137.51,,"BE","crab",,
2001647541,"1750428","DUT","Mechelseweg",216,"216",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149629.05,189036.02,149649.56,189083.53,149629.05,189036.02,149645.59,189074.35,,"BE","crab",,
2000084035,"1750936","DUT","Mechelseweg",217,"217",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149367.76,189141.46,149366.15,189132.97,149367.76,189141.46,149366.78,189136.33,,"BE","crab",,
1000553875,"1750278","DUT","Mechelseweg",219,"219",,"1",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149370.45,189140.27,149368.96,189132.44,149370.45,189140.27,149369.53,189135.44,,"BE","crab",,
1000568817,"1750277","DUT","Mechelseweg",219,"219",,"2",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149370.45,189140.27,149368.96,189132.44,149370.45,189140.27,149369.53,189135.44,,"BE","crab",,
2000993934,"1750777","DUT","Mechelseweg",219,"219",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149370.45,189140.27,149368.96,189132.44,149370.45,189140.27,149369.53,189135.44,,"BE","crab",,
2000912914,"1750789","DUT","Mechelseweg",220,"220",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149636.42,189077.83,149639.51,189088.23,149636.42,189077.83,149637.87,189082.7,,"BE","crab",,
1001135553,"1750170","DUT","Mechelseweg",221,"221",,"1",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149378.07,189148.03,149374.89,189131.31,149378.07,189148.03,149375.37,189133.83,,"BE","crab",,
2002208927,"1750399","DUT","Mechelseweg",221,"221",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149378.07,189148.03,149374.89,189131.31,149378.07,189148.03,149375.37,189133.83,,"BE","crab",,
2000608733,"1750778","DUT","Mechelseweg",222,"222",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149646.13,189045.66,149656.88,189080.86,149642.34,189033.27,149653.96,189071.3,,"BE","crab",,
2001904655,"1750641","DUT","Mechelseweg",223,"223",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149391.42,189148.87,149387.62,189128.89,149391.42,189148.87,149388.16,189131.7,,"BE","crab",,
1000528246,"1750135","DUT","Mechelseweg",225,"225",,"2",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149391.42,189148.87,149387.62,189128.89,149391.42,189148.87,149388.16,189131.7,,"BE","crab",,
1000693178,"1750264","DUT","Mechelseweg",225,"225",,"1",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149391.42,189148.87,149387.62,189128.89,149391.42,189148.87,149388.16,189131.7,,"BE","crab",,
2000534077,"1750795","DUT","Mechelseweg",225,"225",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149391.42,189148.87,149387.62,189128.89,149391.42,189148.87,149388.16,189131.7,,"BE","crab",,
2000230678,"1750924","DUT","Mechelseweg",227,"227",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149403.49,189140.53,149400.8,189126.38,149403.49,189140.53,149401.41,189129.56,,"BE","crab",,
2001142432,"1750583","DUT","Mechelseweg",229,"229",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149414,189138.5,149411.32,189124.38,149414,189138.5,149412,189127.97,,"BE","crab",,
2001785475,"1750582","DUT","Mechelseweg",231,"231",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149425.12,189135.42,149422.61,189122.24,149425.12,189135.42,149423.41,189126.42,,"BE","crab",,
2000337609,"1750913","DUT","Mechelseweg",233,"233",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149431.59,189133.09,149429.29,189120.97,149431.59,189133.09,149430.13,189125.42,,"BE","crab",,
2000072503,"1750939","DUT","Mechelseweg",235,"235",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149442.74,189131.92,149441.31,189119.33,149442.74,189131.92,149441.76,189123.28,,"BE","crab",,
